GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000128708	2	172778958	172848599	179	22	305495	0.024998	0.49003	HAT1
ENSG00000172878	2	172864490	172947158	213	25	305495	0.24306	0.40398	METAP1D
ENSG00000144355	2	172949468	172954405	7	4	305495	0.20363	0.41932	DLX1
ENSG00000115844	2	172964167	172967628	3	2	305495	-0.54374	0.70669	DLX2
ENSG00000091409	2	173292082	173371181	359	34	305495	-0.46154	0.67779	ITGA6
ENSG00000152256	2	173420101	173489823	237	16	305495	0.54852	0.29167	PDK1
ENSG00000091428	2	173600002	173917621	930	81	305495	0.6219	0.267	RAPGEF4
ENSG00000091436	2	173940163	174132738	691	45	305495	2.5714	0.0050642	MLTK
ENSG00000144354	2	174219548	174233725	48	9	305495	-0.33356	0.63064	CDCA7
ENSG00000172845	2	174771187	174830430	198	21	305495	0.29186	0.3852	SP3
ENSG00000138430	2	174937175	175113426	565	21	305495	0.73926	0.22987	OLA1
ENSG00000217236	2	175199674	175203220	16	6	305495	0.43026	0.3335	SP9
ENSG00000268241	2	175200601	175202151	2	1	305495	-1.2663	0.89729	AC018470.1
ENSG00000138433	2	175212750	175260443	83	10	305495	0.79595	0.21303	CIR1
ENSG00000144306	2	175260458	175294303	120	7	305495	0.48522	0.31376	SCRN3
ENSG00000163328	2	175296966	175351822	109	12	305495	1.4645	0.071534	GPR155
ENSG00000115935	2	175424300	175547644	187	28	305495	-1.0587	0.85513	WIPF1
ENSG00000138435	2	175612320	175629200	54	7	305495	1.0992	0.13584	CHRNA1
ENSG00000128656	2	175664091	175870097	311	19	305495	-0.22424	0.58872	CHN1
ENSG00000115966	2	175936978	176033110	259	15	305495	0.062524	0.47507	ATF2
ENSG00000154518	2	176040986	176049335	34	5	305495	-0.047164	0.51881	ATP5G3
ENSG00000144320	2	176788620	176867567	214	25	305495	0.40895	0.34129	KIAA1715
ENSG00000174279	2	176942200	176948641	7	2	305495	-0.27734	0.60924	EVX2
ENSG00000128714	2	176957619	176960666	2	1	305495	-0.25552	0.60084	HOXD13
ENSG00000170178	2	176964458	176966408	4	2	305495	0.37304	0.35456	HOXD12
ENSG00000128713	2	176968944	176974722	10	3	305495	0.017155	0.49316	HOXD11
ENSG00000128710	2	176973518	176984670	23	7	305495	-0.79128	0.78561	HOXD10
ENSG00000128709	2	176987088	176989853	6	2	305495	0.70141	0.24152	HOXD9
ENSG00000175879	2	176994422	176997423	5	2	305495	-0.23317	0.59219	HOXD8
ENSG00000128652	2	177001340	177037830	76	12	305495	1.0515	0.14651	HOXD3
ENSG00000170166	2	177015950	177017954	4	2	305495	1.5258	0.063535	HOXD4
ENSG00000128645	2	177053307	177055688	3	1	305495	0.88139	0.18905	HOXD1
ENSG00000128654	2	177134123	177202753	144	14	305495	-0.78764	0.78455	MTX2
ENSG00000170144	2	178077291	178088686	12	3	305495	0.26137	0.3969	HNRNPA3
ENSG00000116044	2	178092323	178257425	463	34	305495	0.85905	0.19516	NFE2L2
ENSG00000018510	2	178257372	178408564	382	19	305495	0.60869	0.27136	AGPS
ENSG00000196659	2	178413726	178417742	5	2	305495	0.71862	0.23619	TTC30B
ENSG00000197557	2	178477720	178483694	40	7	305495	1.5179	0.064525	TTC30A
ENSG00000128655	2	178487980	178973066	1970	63	305495	0.72532	0.23413	PDE11A
ENSG00000155636	2	178977151	179003738	66	15	305495	0.86597	0.19325	RBM45
ENSG00000079156	2	179059208	179264160	579	47	305495	-0.81397	0.79217	OSBPL6
ENSG00000180228	2	179296141	179316239	30	7	305495	0.11719	0.45335	PRKRA
ENSG00000204311	2	179316163	179326117	13	4	305495	0.49747	0.30943	DFNB59
ENSG00000079150	2	179328391	179343327	24	6	305495	0.045175	0.48198	FKBP7
ENSG00000116095	2	179345195	179381189	73	12	305495	0.31898	0.37487	PLEKHA3
ENSG00000155657	2	179390716	179695529	600	40	305495	-1.1609	0.87716	TTN
ENSG00000163492	2	179694484	179914813	678	56	305495	0.43624	0.33133	CCDC141
ENSG00000187231	2	179966419	180129517	442	31	305495	1.3683	0.085608	SESTD1
ENSG00000144331	2	180306709	180726232	1616	122	305495	0.76538	0.22202	ZNF385B
ENSG00000163510	2	180809603	180871840	189	14	305495	0.68993	0.24512	CWC22
ENSG00000170035	2	181831975	181941312	403	15	305495	1.2303	0.1093	UBE2E3
ENSG00000115232	2	182321929	182400914	242	25	305495	0.027264	0.48912	ITGA4
ENSG00000188452	2	182401403	182545392	418	34	305495	0.29819	0.38278	CERKL
ENSG00000162992	2	182537815	182545603	9	3	305495	0.069693	0.47222	NEUROD1
ENSG00000138434	2	182756560	182795465	66	6	305495	1.4645	0.071524	SSFA2
ENSG00000150722	2	182818968	182996125	418	45	305495	0.606	0.27226	PPP1R1C
ENSG00000115252	2	183004763	183387919	1336	63	305495	0.43043	0.33344	PDE1A
ENSG00000077232	2	183580999	183659191	154	10	305495	0.14093	0.44396	DNAJC10
ENSG00000162998	2	183698002	183731890	90	11	305495	-0.14667	0.5583	FRZB
ENSG00000061676	2	183773843	183903586	329	26	305495	-0.93437	0.82494	NCKAP1
ENSG00000162999	2	183943287	183964733	67	12	305495	-0.70467	0.75949	DUSP19
ENSG00000163002	2	183982241	184026408	291	25	305495	-0.57951	0.71888	NUP35
ENSG00000170396	2	185463093	185804219	801	33	305495	1.2004	0.115	ZNF804A
ENSG00000188738	2	186603355	186698017	258	10	305495	-1.7076	0.95615	FSIP2
ENSG00000065548	2	187350883	187374090	53	7	305495	0.27811	0.39046	ZC3H15
ENSG00000213953	2	187361840	187365393	11	3	305495	0.22473	0.41109	AC018867.1
ENSG00000138448	2	187454792	187545628	153	19	305495	0.91395	0.18037	ITGAV
ENSG00000144369	2	187558698	187630685	122	15	305495	1.5635	0.058966	FAM171B
ENSG00000163012	2	187692562	187713935	103	4	305495	2.6605	0.0039011	ZSWIM2
ENSG00000064989	2	188207856	188313187	264	22	305495	0.88471	0.18816	CALCRL
ENSG00000003436	2	188328957	188430487	273	33	305495	-1.1943	0.88382	TFPI
ENSG00000144366	2	189156396	189460653	723	32	305495	-0.81152	0.79147	GULP1
ENSG00000174325	2	189598882	189654831	192	10	305495	-0.35865	0.64007	DIRC1
ENSG00000168542	2	189839046	189877472	77	10	305495	-0.28503	0.61219	COL3A1
ENSG00000204262	2	189896622	190044605	447	19	305495	0.41622	0.33862	COL5A2
ENSG00000115368	2	190306159	190340291	198	6	305495	-0.14399	0.55724	WDR75
ENSG00000138449	2	190425305	190448484	43	7	305495	0.36544	0.35739	SLC40A1
ENSG00000138381	2	190526111	190535557	24	5	305495	0.20806	0.41759	ASNSD1
ENSG00000151687	2	190539016	190625919	166	15	305495	1.1071	0.13413	ANKAR
ENSG00000128694	2	190611386	190627953	27	6	305495	0.70953	0.239	OSGEPL1
ENSG00000128699	2	190635049	190649097	32	5	305495	0.97699	0.16429	ORMDL1
ENSG00000231145	2	190642909	190643157	2	1	305495	-1.0265	0.84768	AC013468.1
ENSG00000064933	2	190649107	190742355	217	20	305495	1.1633	0.12236	PMS1
ENSG00000187699	2	190744335	191068210	793	71	305495	-0.21188	0.5839	C2orf88
ENSG00000138379	2	190920423	190927455	18	3	305495	0.63528	0.26262	MSTN
ENSG00000198130	2	191054461	191208919	461	14	305495	-0.96931	0.83381	HIBCH
ENSG00000151689	2	191208196	191236391	103	7	305495	0.27224	0.39272	INPP1
ENSG00000151690	2	191273081	191373931	292	23	305495	-0.18088	0.57177	MFSD6
ENSG00000189362	2	191369068	191399448	76	11	305495	0.66381	0.2534	TMEM194B
ENSG00000138386	2	191511472	191557492	108	14	305495	0.06781	0.47297	NAB1
ENSG00000115419	2	191745553	191830278	129	15	305495	1.1389	0.12737	GLS
ENSG00000115415	2	191829084	191885686	133	20	305495	-0.10019	0.5399	STAT1
ENSG00000138378	2	191894302	192016322	206	22	305495	-0.7491	0.7731	STAT4
ENSG00000128641	2	192109911	192290115	367	16	305495	-0.55723	0.71131	MYO1B
ENSG00000173559	2	192542794	192561385	19	7	305495	0.82009	0.20608	NABP1
ENSG00000168497	2	192699028	192711981	22	7	305495	-0.40721	0.65807	SDPR
ENSG00000144339	2	192813769	193060435	459	60	305495	0.6552	0.25617	TMEFF2
ENSG00000196950	2	196440701	196602426	350	33	305495	-0.13703	0.5545	SLC39A10
ENSG00000118997	2	196602427	196933536	744	33	305495	-1.7394	0.95902	DNAH7
ENSG00000081320	2	196998290	197041227	150	10	305495	-1.3794	0.91612	STK17B
ENSG00000138411	2	197059094	197458416	1134	71	305495	1.257	0.10437	HECW2
ENSG00000144395	2	197504278	197628214	254	17	305495	0.99409	0.16009	CCDC150
ENSG00000119041	2	197627756	197664449	44	11	305495	-0.10545	0.54199	GTF3C3
ENSG00000187944	2	197669726	197675000	8	3	305495	0.032631	0.48698	C2orf66
ENSG00000197121	2	197697728	197792520	174	10	305495	-0.11785	0.54691	PGAP1
ENSG00000065413	2	197831741	198175897	1003	73	305495	1.4133	0.078777	ANKRD44
ENSG00000115524	2	198254508	198299815	60	10	305495	0.74706	0.22751	SF3B1
ENSG00000115520	2	198318147	198340032	23	5	305495	0.0069418	0.49723	COQ10B
ENSG00000144381	2	198351305	198381461	40	6	305495	-0.060617	0.52417	HSPD1
ENSG00000115541	2	198364718	198368181	2	1	305495	0.24261	0.40415	HSPE1
ENSG00000270757	2	198365137	198415450	68	9	305495	-0.055704	0.52221	HSPE1-MOB4
ENSG00000115540	2	198380295	198418423	57	8	305495	-0.11907	0.54739	MOB4
ENSG00000162944	2	198432948	198540769	206	14	305495	0.5762	0.28224	RFTN2
ENSG00000222017	2	198557830	198639547	141	11	305495	0.67563	0.24964	AC011997.1
ENSG00000247626	2	198570087	198573113	2	1	305495	0.083944	0.46655	MARS2
ENSG00000152430	2	198591603	198651486	89	12	305495	0.80862	0.20937	BOLL
ENSG00000115896	2	198669426	199437305	1523	87	305495	0.36067	0.35917	PLCL1
ENSG00000119042	2	200134223	200335989	279	22	305495	-0.81566	0.79265	SATB2
ENSG00000226124	2	200625267	200715896	148	26	305495	-1.0918	0.86253	FTCDNL1
ENSG00000178074	2	200775979	200820658	110	15	305495	0.60199	0.27359	C2orf69
ENSG00000162971	2	200794698	200820459	55	11	305495	0.28591	0.38747	TYW5
ENSG00000162972	2	200820040	200873263	107	16	305495	-0.10445	0.54159	C2orf47
ENSG00000196141	2	201170604	201346986	406	52	305495	0.42512	0.33537	SPATS2L
ENSG00000155729	2	201353675	201384507	78	17	305495	1.3264	0.092358	KCTD18
ENSG00000163535	2	201374731	201448505	174	21	305495	1.5444	0.061246	SGOL2
ENSG00000138356	2	201450591	201541787	297	36	305495	1.9048	0.028405	AOX1
ENSG00000082153	2	201675317	201688569	22	5	305495	-1.36	0.91309	BZW1
ENSG00000013441	2	201717732	201729422	22	6	305495	-0.1136	0.54522	CLK1
ENSG00000240344	2	201735630	201754026	37	10	305495	-0.13971	0.55555	PPIL3
ENSG00000196290	2	201754050	201768655	18	4	305495	-0.45814	0.67658	NIF3L1
ENSG00000115942	2	201773696	201828403	80	10	305495	-0.18055	0.57164	ORC2
ENSG00000155744	2	201838441	201936394	187	15	305495	0.052614	0.47902	FAM126B
ENSG00000119013	2	201936156	201950473	37	6	305495	0.32319	0.37328	NDUFB3
ENSG00000003402	2	201980827	202041410	155	16	305495	0.34848	0.36374	CFLAR
ENSG00000003400	2	202047604	202094129	78	8	305495	0.15019	0.44031	CASP10
ENSG00000064012	2	202098166	202152434	160	24	305495	1.1103	0.13345	CASP8
ENSG00000155749	2	202152994	202222121	211	20	305495	-0.80537	0.7897	ALS2CR12
ENSG00000115993	2	202241930	202316302	161	12	305495	-0.81005	0.79104	TRAK2
ENSG00000082146	2	202252581	202345569	182	14	305495	-0.87707	0.80978	STRADB
ENSG00000155754	2	202352148	202483901	453	22	305495	0.37529	0.35372	ALS2CR11
ENSG00000155755	2	202484907	202508293	26	7	305495	0.868	0.1927	TMEM237
ENSG00000082126	2	202509593	202563417	123	29	305495	2.4851	0.0064766	MPP4
ENSG00000003393	2	202565277	202645912	281	22	305495	0.62996	0.26436	ALS2
ENSG00000138395	2	202655184	202760273	251	35	305495	1.3028	0.096325	CDK15
ENSG00000155760	2	202899310	202903160	8	4	305495	0.95223	0.17049	FZD7
ENSG00000182329	2	202937978	203062585	308	33	305495	1.2288	0.10957	AC079354.1
ENSG00000116030	2	203070903	203103331	76	12	305495	1.1839	0.11822	SUMO1
ENSG00000055044	2	203130439	203168389	92	11	305495	1.0226	0.15325	NOP58
ENSG00000204217	2	203241659	203432474	378	26	305495	1.0776	0.14061	BMPR2
ENSG00000138439	2	203499901	203634480	173	22	305495	-0.17207	0.56831	FAM117B
ENSG00000163596	2	203640690	203736708	202	14	305495	0.4244	0.33564	ICA1L
ENSG00000138442	2	203739505	203879521	319	17	305495	0.41604	0.33869	WDR12
ENSG00000138380	2	203776937	203851786	164	11	305495	0.37904	0.35233	CARF
ENSG00000144426	2	203879602	204091101	328	26	305495	0.59876	0.27467	NBEAL1
ENSG00000119004	2	204103663	204163009	135	13	305495	1.0348	0.15037	CYP20A1
ENSG00000138443	2	204192942	204312446	210	26	305495	0.31981	0.37455	ABI2
ENSG00000173166	2	204259068	204400133	235	23	305495	1.1082	0.13388	RAPH1
ENSG00000178562	2	204571198	204603635	82	10	305495	-0.11415	0.54544	CD28
ENSG00000163599	2	204732509	204738683	6	3	305495	0.1967	0.42203	CTLA4
ENSG00000163600	2	204801471	204826300	66	14	305495	0.96683	0.16681	ICOS
ENSG00000116117	2	205410516	206484886	2760	160	305495	0.48063	0.31539	PARD3B
ENSG00000118257	2	206546714	206662857	263	57	305495	0.99764	0.15923	NRP2
ENSG00000114933	2	206858445	206951027	230	22	305495	0.80634	0.21002	INO80D
ENSG00000023228	2	206979541	207024327	132	11	305495	0.51169	0.30443	NDUFS1
ENSG00000114942	2	207024309	207027652	3	1	305495	0.65069	0.25762	EEF1B2
ENSG00000183671	2	207040040	207082771	115	17	305495	0.0065903	0.49737	GPR1
ENSG00000204186	2	207139387	207179148	64	8	305495	0.79367	0.21369	ZDBF2
ENSG00000114948	2	207308263	207485851	409	50	305495	-0.11794	0.54694	ADAM23
ENSG00000232125	2	207516345	207583120	285	33	305495	0.23671	0.40644	DYTN
ENSG00000138400	2	207602487	207630271	134	8	305495	0.6248	0.26605	MDH1B
ENSG00000118246	2	207630081	207657233	67	10	305495	0.33048	0.37052	FASTKD2
ENSG00000144410	2	207804278	207834198	82	11	305495	0.49224	0.31127	CPO
ENSG00000118263	2	207938861	208031991	287	45	305495	0.82788	0.20387	KLF7
ENSG00000118260	2	208394461	208468155	125	13	305495	0.71451	0.23746	CREB1
ENSG00000144401	2	208445355	208490652	89	7	305495	1.1219	0.13095	METTL21A
ENSG00000163249	2	208576264	208626563	133	7	305495	0.12771	0.44919	CCNYL1
ENSG00000163251	2	208627310	208634287	13	5	305495	1.1132	0.1328	FZD5
ENSG00000178385	2	208693027	208890284	345	40	305495	-1.0246	0.84723	PLEKHM3
ENSG00000118231	2	208986331	208989225	10	3	305495	-0.47329	0.682	CRYGD
ENSG00000163254	2	208992861	208994554	4	2	305495	-0.88552	0.81206	CRYGC
ENSG00000182187	2	209007297	209010892	19	4	305495	0.59039	0.27747	CRYGB
ENSG00000168582	2	209025464	209028300	17	4	305495	-0.83883	0.79922	CRYGA
ENSG00000188674	2	209030067	209054797	106	16	305495	0.68514	0.24663	C2orf80
ENSG00000138413	2	209100951	209130798	67	11	305495	0.93886	0.1739	IDH1
ENSG00000115020	2	209130991	209223475	313	14	305495	0.48304	0.31454	PIKFYVE
ENSG00000144407	2	209224438	209719227	1624	67	305495	-0.37158	0.6449	PTH2R
ENSG00000078018	2	210288782	210598842	855	38	305495	0.19984	0.4208	MAP2
ENSG00000144406	2	210636717	210864024	479	36	305495	-0.12738	0.55068	UNC80
ENSG00000197713	2	210867289	210886300	22	6	305495	-1.0346	0.84958	RPE
ENSG00000144445	2	210886147	211036107	128	21	305495	-1.3195	0.9065	KANSL1L
ENSG00000115361	2	211052663	211090215	39	6	305495	-0.54647	0.70763	ACADL
ENSG00000168530	2	211154874	211179914	57	6	305495	-0.98765	0.83834	MYL1
ENSG00000115365	2	211295973	211342376	114	9	305495	-0.48505	0.68618	LANCL1
ENSG00000021826	2	211342406	211543831	516	35	305495	-0.58787	0.72169	CPS1
ENSG00000178568	2	212240446	213403565	4416	250	305495	1.079	0.1403	ERBB4
ENSG00000030419	2	213864429	214017151	404	30	305495	0.46289	0.32172	IKZF2
ENSG00000144451	2	214149113	215275225	3508	96	305495	1.1772	0.11955	SPAG16
ENSG00000174453	2	215275789	215443683	515	32	305495	1.0418	0.14875	VWC2L
ENSG00000138376	2	215590370	215674428	483	43	305495	1.4647	0.071499	BARD1
ENSG00000144452	2	215796266	216003151	455	53	305495	0.7368	0.23062	ABCA12
ENSG00000138363	2	216176540	216214487	131	13	305495	0.63469	0.26282	ATIC
ENSG00000115414	2	216225163	216300895	256	23	305495	0.072273	0.47119	FN1
ENSG00000118242	2	216809213	216898819	313	58	305495	0.76562	0.22195	MREG
ENSG00000115425	2	216861052	216947678	275	33	305495	-0.40847	0.65853	PECR
ENSG00000163449	2	216946589	216967506	46	7	305495	-0.79968	0.78805	TMEM169
ENSG00000079246	2	216972187	217071026	261	26	305495	-0.69612	0.75682	XRCC5
ENSG00000144583	2	217122588	217236750	285	33	305495	0.88824	0.18721	MARCH4
ENSG00000138375	2	217277137	217347776	261	23	305495	0.63889	0.26145	SMARCAL1
ENSG00000197756	2	217362912	217443903	253	34	305495	1.1329	0.12863	RPL37A
ENSG00000115457	2	217497551	217529159	40	8	305495	0.3503	0.36306	IGFBP2
ENSG00000115461	2	217536828	217560248	49	5	305495	0.13758	0.44529	IGFBP5
ENSG00000118245	2	217724181	217724787	1	1	305495	-1.1512	0.87517	TNP1
ENSG00000223874	2	217735495	217736362	2	1	305495	-0.81674	0.79296	AC007557.1
ENSG00000231672	2	218148742	218621316	1437	82	305495	0.39505	0.3464	DIRC3
ENSG00000079308	2	218664512	218867718	496	82	305495	0.22082	0.41262	TNS1
ENSG00000188282	2	218899683	218955304	135	12	305495	0.73361	0.23159	RUFY4
ENSG00000180871	2	218990012	219001976	21	4	305495	-0.24757	0.59777	CXCR2
ENSG00000163464	2	219027568	219031718	5	2	305495	0.7935	0.21374	CXCR1
ENSG00000163466	2	219081817	219119079	75	8	305495	0.65545	0.25609	ARPC2
ENSG00000179921	2	219124219	219128582	8	2	305495	0.87174	0.19168	GPBAR1
ENSG00000127837	2	219128850	219134980	8	2	305495	0.69889	0.24231	AAMP
ENSG00000127838	2	219135115	219211516	195	11	305495	0.0053366	0.49787	PNKD
ENSG00000135926	2	219138915	219157309	54	3	305495	0.20772	0.41772	TMBIM1
ENSG00000158428	2	219221579	219232822	34	8	305495	0.11704	0.45341	C2orf62
ENSG00000018280	2	219246752	219261617	18	6	305495	0.50089	0.30823	SLC11A1
ENSG00000144579	2	219262979	219270664	10	3	305495	1.3768	0.084293	CTDSP1
ENSG00000127831	2	219283815	219318018	36	5	305495	1.2627	0.10335	VIL1
ENSG00000135913	2	219314974	219433084	225	10	305495	0.8217	0.20563	USP37
ENSG00000144580	2	219433303	219461803	54	4	305495	0.67897	0.24858	RQCD1
ENSG00000115556	2	219472488	219501907	48	5	305495	0.53395	0.29669	PLCD4
ENSG00000115568	2	219502639	219524378	45	5	305495	0.74363	0.22855	ZNF142
ENSG00000074582	2	219523487	219528166	8	2	305495	0.15323	0.43911	BCS1L
ENSG00000163481	2	219528587	219537134	22	3	305495	0.26089	0.39709	RNF25
ENSG00000163482	2	219536749	219567439	37	6	305495	0.78235	0.217	STK36
ENSG00000135912	2	219575568	219620139	94	5	305495	1.7174	0.042956	TTLL4
ENSG00000135929	2	219646472	219680016	71	4	305495	1.2884	0.0988	CYP27A1
ENSG00000115592	2	219687106	219696809	10	5	305495	-1.984	0.97637	PRKAG3
ENSG00000115596	2	219724544	219738955	15	3	305495	0.47863	0.3161	WNT6
ENSG00000135925	2	219745085	219764303	15	3	305495	0.90603	0.18246	WNT10A
ENSG00000171450	2	219824377	219826876	5	1	305495	0.33643	0.36828	CDK5R2
ENSG00000163497	2	219845809	219850379	3	1	305495	1.6145	0.053208	FEV
ENSG00000181378	2	219867568	219906249	62	9	305495	0.80991	0.209	CCDC108
ENSG00000163501	2	219919142	219925189	16	3	305495	1.4043	0.080119	IHH
ENSG00000187736	2	219940039	220025587	166	11	305495	1.4524	0.073199	NHEJ1
ENSG00000213901	2	219940051	220035549	180	12	305495	1.4659	0.071344	SLC23A3
ENSG00000115649	2	220036619	220042828	20	3	305495	1.7102	0.043614	CNPPD1
ENSG00000144567	2	220040947	220050201	30	5	305495	2.0445	0.020451	FAM134A
ENSG00000158552	2	220059959	220074373	15	6	305495	-0.63139	0.73611	ZFAND2B
ENSG00000115657	2	220074490	220083712	9	4	305495	-0.68256	0.75256	ABCB6
ENSG00000198925	2	220074494	220094439	34	6	305495	-0.75247	0.77412	ATG9A
ENSG00000163516	2	220094479	220101391	19	5	305495	-0.36381	0.642	ANKZF1
ENSG00000163521	2	220101328	220110200	23	9	305495	-0.50279	0.69244	GLB1L
ENSG00000115661	2	220110177	220115059	6	2	305495	-0.98963	0.83882	STK16
ENSG00000127824	2	220114433	220142892	68	8	305495	-0.72761	0.76657	TUBA4A
ENSG00000135924	2	220143989	220151622	18	4	305495	-0.37297	0.64541	DNAJB2
ENSG00000054356	2	220154345	220174370	50	9	305495	-0.10022	0.53991	PTPRN
ENSG00000182698	2	220192131	220197899	27	3	305495	-0.50076	0.69173	RESP18
ENSG00000123992	2	220238268	220264744	63	8	305495	-0.93768	0.82579	DNPEP
ENSG00000175084	2	220283099	220291461	8	4	305495	-1.1246	0.86961	DES
ENSG00000072195	2	220299568	220363009	113	17	305495	0.23342	0.40772	SPEG
ENSG00000144591	2	220363589	220371710	10	4	305495	-1.4586	0.92766	GMPPA
ENSG00000072182	2	220378892	220403494	49	10	305495	-0.32958	0.62914	ASIC4
ENSG00000123989	2	220403669	220408509	12	3	305495	-1.1284	0.87042	CHPF
ENSG00000188760	2	220408385	220415317	12	3	305495	-0.34201	0.63383	TMEM198
ENSG00000124006	2	220415451	220436581	69	13	305495	-0.81854	0.79348	OBSL1
ENSG00000123999	2	220433884	220440435	19	6	305495	-0.95038	0.82904	INHA
ENSG00000144589	2	220462582	220481173	15	4	305495	0.024878	0.49008	STK11IP
ENSG00000114923	2	220492049	220506702	19	5	305495	1.264	0.10311	SLC4A3
ENSG00000116106	2	222282747	222438922	403	43	305495	-1.1258	0.86987	EPHA4
ENSG00000135903	2	223064607	223163715	280	35	305495	-0.87979	0.81051	PAX3
ENSG00000163081	2	223162866	223169936	8	4	305495	-0.29077	0.61439	CCDC140
ENSG00000163082	2	223289236	223425667	358	49	305495	-0.762	0.77697	SGPP2
ENSG00000116120	2	223435255	223521056	217	23	305495	0.044576	0.48222	FARSB
ENSG00000124003	2	223536505	223574649	123	20	305495	1.9786	0.023928	MOGAT1
ENSG00000123983	2	223725652	223809357	267	18	305495	-0.60625	0.72783	ACSL3
ENSG00000152049	2	223916532	224063117	694	38	305495	-0.44358	0.67133	KCNE4
ENSG00000171951	2	224461658	224467221	7	3	305495	-0.5812	0.71945	SCG2
ENSG00000152056	2	224616403	224702744	387	26	305495	0.79943	0.21202	AP1S3
ENSG00000085449	2	224720433	224810104	259	13	305495	1.9851	0.023566	WDFY1
ENSG00000135900	2	224822121	224832431	15	3	305495	0.85448	0.19642	MRPL44
ENSG00000135919	2	224839829	224904036	286	31	305495	0.45236	0.32551	SERPINE2
ENSG00000124019	2	225243415	225266802	61	12	305495	0.90991	0.18143	FAM124B
ENSG00000036257	2	225334867	225450110	324	18	305495	0.085325	0.466	CUL3
ENSG00000135905	2	225629807	225907162	819	56	305495	-0.69263	0.75573	DOCK10
ENSG00000144460	2	226265364	226518734	503	37	305495	0.9424	0.17299	NYAP2
ENSG00000169047	2	227596033	227664475	168	11	305495	0.18036	0.42843	IRS1
ENSG00000144468	2	227700297	227863931	332	17	305495	-0.40995	0.65908	RHBDD1
ENSG00000081052	2	227867427	228028829	488	40	305495	0.10269	0.45911	COL4A4
ENSG00000169031	2	228029281	228179508	828	69	305495	-1.1301	0.87079	COL4A3
ENSG00000168958	2	228189867	228222550	119	12	305495	-0.074008	0.5295	MFF
ENSG00000168955	2	228226872	228246711	86	17	305495	-0.47654	0.68315	TM4SF20
ENSG00000173744	2	228336868	228425930	332	27	305495	0.43909	0.3303	AGFG1
ENSG00000042304	2	228474806	228498036	190	18	305495	-0.93982	0.82635	C2orf83
ENSG00000135917	2	228549926	228582728	147	17	305495	-0.033186	0.51324	SLC19A3
ENSG00000115009	2	228678558	228682272	3	2	305495	0.39501	0.34642	CCL20
ENSG00000123977	2	228735770	228789060	239	17	305495	0.95993	0.16854	DAW1
ENSG00000153820	2	228844666	229046361	767	37	305495	1.363	0.086446	SPHKAP
ENSG00000153823	2	229715242	230136001	1428	131	305495	0.10861	0.45676	PID1
ENSG00000187957	2	230222345	230579274	1207	103	305495	0.85296	0.19684	DNER
ENSG00000153827	2	230628554	230787955	219	22	305495	0.42574	0.33515	TRIP12
ENSG00000153832	2	230787018	230877825	142	20	305495	0.70197	0.24135	FBXO36
ENSG00000163053	2	230899698	230933715	120	15	305495	0.56351	0.28654	SLC16A14
ENSG00000135899	2	231032009	231090444	251	20	305495	0.96354	0.16764	SP110
ENSG00000079263	2	231067826	231223762	512	31	305495	-0.45092	0.67398	SP140
ENSG00000185404	2	231191899	231268447	353	29	305495	-0.15104	0.56003	SP140L
ENSG00000067066	2	231280657	231408805	433	43	305495	-0.77331	0.78033	SP100
ENSG00000135932	2	231577560	231685790	197	18	305495	0.64007	0.26106	CAB39
ENSG00000135916	2	231729354	231743963	55	10	305495	-1.3861	0.91713	ITM2C
ENSG00000135898	2	231772033	231825781	167	29	305495	-0.50121	0.69189	GPR55
ENSG00000173699	2	231860836	231889770	119	11	305495	0.2414	0.40462	SPATA3
ENSG00000204128	2	231902205	231914434	35	7	305495	-0.92553	0.82265	C2orf72
ENSG00000173692	2	231921578	232037541	198	19	305495	-0.74586	0.77212	PSMD1
ENSG00000135914	2	231972944	231989832	18	6	305495	-1.3594	0.913	HTR2B
ENSG00000135931	2	232063260	232239548	466	42	305495	0.9053	0.18265	ARMC9
ENSG00000156966	2	232260254	232265875	8	3	305495	2.0044	0.022514	B3GNT7
ENSG00000233538	2	232316906	232317864	3	2	305495	-0.71349	0.76223	AC017104.2
ENSG00000115053	2	232318242	232348352	86	12	305495	-1.2731	0.89852	NCL
ENSG00000171596	2	232387871	232395206	33	3	305495	0.82102	0.20582	NMUR1
ENSG00000177673	2	232457575	232458994	2	1	305495	-0.33836	0.63245	C2orf57
ENSG00000187514	2	232571605	232578251	26	6	305495	0.18669	0.42595	PTMA
ENSG00000156973	2	232597135	232650982	148	11	305495	-0.62344	0.7335	PDE6D
ENSG00000144524	2	232646381	232673963	57	8	305495	-0.46638	0.67953	COPS7B
ENSG00000163273	2	232786530	232791113	8	3	305495	0.29951	0.38227	NPPC
ENSG00000144535	2	232825955	233209060	1059	34	305495	1.1155	0.13231	DIS3L2
ENSG00000163283	2	233243244	233247599	16	5	305495	0.78274	0.21689	ALPP
ENSG00000163286	2	233271553	233275424	11	4	305495	0.53483	0.29638	ALPPL2
ENSG00000163295	2	233320833	233324742	11	3	305495	0.53163	0.29749	ALPI
ENSG00000171551	2	233344537	233352538	20	9	305495	-1.2724	0.89838	ECEL1
ENSG00000237412	2	233385173	233390422	15	5	305495	2.4587	0.006972	PRSS56
ENSG00000135902	2	233390703	233401377	29	6	305495	1.8244	0.034042	CHRND
